Date(GMT),Date(Local),Time(sec),Latitude,Longitude
2025-07-25T00:54:21Z,2025-07-24T17:54:21Z,0.0,37.3614269900435,-120.42819036419849
2025-07-25T00:54:24Z,2025-07-24T17:54:24Z,2.512091040611267,37.36147356428763,-120.42847024358028
2025-07-25T00:54:25Z,2025-07-24T17:54:25Z,3.5170719623565674,37.36153376572307,-120.42856478227112
2025-07-25T00:54:28Z,2025-07-24T17:54:28Z,6.017696976661682,37.36155771716967,-120.4286886797779
2025-07-25T00:54:31Z,2025-07-24T17:54:31Z,9.018424987792969,37.36155805291123,-120.42885798279548
2025-07-25T00:54:34Z,2025-07-24T17:54:34Z,12.01914095878601,37.36149346700218,-120.42899395627208
2025-07-25T00:54:35Z,2025-07-24T17:54:35Z,13.016891956329346,37.36144884123041,-120.4288643236037
2025-07-25T00:54:36Z,2025-07-24T17:54:36Z,14.01325297355652,37.36142757747036,-120.4290407647964
2025-07-25T00:54:40Z,2025-07-24T17:54:40Z,18.011886954307556,37.36133120396993,-120.42906368464516
2025-07-25T00:54:45Z,2025-07-24T17:54:45Z,23.01333796977997,37.36124894452235,-120.42914130689088
2025-07-25T00:54:48Z,2025-07-24T17:54:48Z,26.01401698589325,37.36123659091866,-120.4292913485803
2025-07-25T00:54:50Z,2025-07-24T17:54:50Z,28.014497995376587,37.36124378179778,-120.42945385974096
2025-07-25T00:54:51Z,2025-07-24T17:54:51Z,29.014847993850708,37.361249390854056,-120.4295678488405
2025-07-25T00:54:53Z,2025-07-24T17:54:53Z,31.01509296894073,37.36125175363519,-120.42979114188424
2025-07-25T00:54:56Z,2025-07-24T17:54:56Z,34.01588797569275,37.36125026171424,-120.43013820354146
2025-07-25T00:54:57Z,2025-07-24T17:54:57Z,35.01603901386261,37.3612440289314,-120.43025567644024
2025-07-25T00:54:58Z,2025-07-24T17:54:58Z,36.016258001327515,37.36124365911712,-120.43037964006298
2025-07-25T00:54:59Z,2025-07-24T17:54:59Z,37.016456961631775,37.3612439725032,-120.43050149251523
2025-07-25T00:55:00Z,2025-07-24T17:55:00Z,38.01671493053436,37.3612420377551,-120.43062448193376
2025-07-25T00:55:01Z,2025-07-24T17:55:01Z,39.01687598228455,37.36124137447628,-120.430750745257
2025-07-25T00:55:02Z,2025-07-24T17:55:02Z,40.017159938812256,37.36123788576224,-120.43087906395913
2025-07-25T00:55:03Z,2025-07-24T17:55:03Z,41.01743996143341,37.36123464223019,-120.43101287562604
2025-07-25T00:55:04Z,2025-07-24T17:55:04Z,42.01757192611694,37.361226390664136,-120.43114584914603
2025-07-25T00:55:05Z,2025-07-24T17:55:05Z,43.01791799068451,37.36121350415301,-120.43128070004629
2025-07-25T00:55:06Z,2025-07-24T17:55:06Z,44.0181440114975,37.36122688847328,-120.4314098186083
2025-07-25T00:55:07Z,2025-07-24T17:55:07Z,45.01838397979736,37.36122609076084,-120.43152416559592
2025-07-25T00:55:09Z,2025-07-24T17:55:09Z,47.01882302761078,37.36122465390926,-120.43172880770344
2025-07-25T00:55:11Z,2025-07-24T17:55:11Z,49.019457936286926,37.3612211827264,-120.43185881331569
2025-07-25T00:55:21Z,2025-07-24T17:55:21Z,59.02151298522949,37.36120657614812,-120.43199324116236
2025-07-25T00:55:23Z,2025-07-24T17:55:23Z,61.021950006484985,37.36120412813322,-120.43213089295942
2025-07-25T00:55:25Z,2025-07-24T17:55:25Z,63.02250802516937,37.361161130187455,-120.4322312679407
2025-07-25T00:55:27Z,2025-07-24T17:55:27Z,65.02302896976471,37.361063135178334,-120.43230005484564
2025-07-25T00:55:29Z,2025-07-24T17:55:29Z,67.01315593719482,37.3609411878736,-120.43229936184004
2025-07-25T00:55:31Z,2025-07-24T17:55:31Z,69.01317203044891,37.360781413829336,-120.43229613402563
2025-07-25T00:55:32Z,2025-07-24T17:55:32Z,70.01316702365875,37.36068676102269,-120.43229755668123
